"longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity"
-122.26,37.84,49,713,202,462,189,1.025,118800,"NEAR BAY"
-122.26,37.84,52,950,202,467,198,3.9643,188800,"NEAR BAY"
-122.26,37.83,52,1443,311,660,292,3.0125,184400,"NEAR BAY"
-122.26,37.83,52,1656,420,718,382,2.6768,182300,"NEAR BAY"
-122.26,37.83,50,1125,322,616,304,2.026,142500,"NEAR BAY"
-122.27,37.82,43,1007,312,558,253,1.7348,137500,"NEAR BAY"
-122.26,37.82,40,624,195,423,160,0.9506,187500,"NEAR BAY"
-122.27,37.82,40,946,375,700,352,1.775,112500,"NEAR BAY"
-122.27,37.82,21,896,453,735,438,0.9218,171900,"NEAR BAY"
-122.27,37.82,43,1868,456,1061,407,1.5045,93800,"NEAR BAY"
-122.27,37.82,41,3221,853,1959,720,1.1108,97500,"NEAR BAY"
-122.27,37.82,52,1630,456,1162,400,1.2475,104200,"NEAR BAY"
-122.28,37.82,52,1170,235,701,233,1.6098,87500,"NEAR BAY"
-122.28,37.82,52,945,243,576,220,1.4113,83100,"NEAR BAY"
-122.28,37.82,52,1238,288,622,259,1.5057,87500,"NEAR BAY"
-122.28,37.82,52,1489,335,728,244,0.8172,85300,"NEAR BAY"
-122.28,37.82,52,1387,341,1074,304,1.2171,80300,"NEAR BAY"
-122.29,37.82,2,158,43,94,57,2.5625,60000,"NEAR BAY"
-122.29,37.83,52,1121,211,554,187,3.3929,75700,"NEAR BAY"
-122.29,37.82,49,135,29,86,23,6.1183,75000,"NEAR BAY"
-122.29,37.81,50,760,190,377,122,0.9011,86100,"NEAR BAY"
-122.3,37.81,52,1224,237,521,159,1.191,76100,"NEAR BAY"
-122.3,37.81,48,828,182,392,133,2.5938,73500,"NEAR BAY"
-122.3,37.81,52,1010,209,604,187,1.1667,78400,"NEAR BAY"
-122.3,37.81,48,1455,354,788,332,0.8056,84400,"NEAR BAY"
-122.29,37.8,52,1027,244,492,147,2.6094,81300,"NEAR BAY"
-122.3,37.81,52,572,109,274,82,1.8516,85000,"NEAR BAY"
-122.29,37.81,46,2801,644,1823,611,0.9802,129200,"NEAR BAY"
-122.29,37.81,26,768,152,392,127,1.7719,82500,"NEAR BAY"
-122.29,37.81,46,935,297,582,277,0.7286,95200,"NEAR BAY"
-122.29,37.81,49,844,204,560,152,1.75,75000,"NEAR BAY"
-122.29,37.81,46,12,4,18,7,0.4999,67500,"NEAR BAY"
-122.29,37.81,20,835,161,290,133,2.483,137500,"NEAR BAY"
-122.28,37.81,17,1237,462,762,439,0.9241,177500,"NEAR BAY"
-122.28,37.81,36,2914,562,1236,509,2.4464,102100,"NEAR BAY"
-122.28,37.81,19,1207,243,721,207,1.1111,108300,"NEAR BAY"
-122.29,37.81,23,1745,374,1054,325,0.8026,112500,"NEAR BAY"
-122.28,37.8,38,684,176,344,155,2.0114,131300,"NEAR BAY"
-122.28,37.81,17,924,289,609,289,1.5,162500,"NEAR BAY"
-122.27,37.81,52,210,56,183,56,1.1667,112500,"NEAR BAY"
-122.28,37.81,52,340,97,200,87,1.5208,112500,"NEAR BAY"
-122.28,37.81,52,386,164,346,155,0.8075,137500,"NEAR BAY"
-122.28,37.81,35,948,184,467,169,1.8088,118800,"NEAR BAY"
-122.28,37.81,52,773,143,377,115,2.4083,98200,"NEAR BAY"
-122.27,37.81,40,880,451,582,380,0.977,118800,"NEAR BAY"
-122.27,37.81,10,875,348,546,330,0.76,162500,"NEAR BAY"
-122.27,37.8,10,105,42,125,39,0.9722,137500,"NEAR BAY"
-122.27,37.8,16,994,392,800,362,2.0938,162500,"NEAR BAY"
-122.28,37.8,52,215,87,904,88,0.8668,137500,"NEAR BAY"
-122.28,37.8,52,96,31,191,34,0.75,162500,"NEAR BAY"
-122.27,37.79,27,1055,347,718,302,2.6354,187500,"NEAR BAY"
-122.27,37.8,39,1715,623,1327,467,1.8477,179200,"NEAR BAY"
-122.26,37.8,36,5329,2477,3469,2323,2.0096,130000,"NEAR BAY"
-122.26,37.82,31,4596,1331,2048,1180,2.8345,183800,"NEAR BAY"
-122.26,37.81,29,335,107,202,91,2.0062,125000,"NEAR BAY"
-122.26,37.82,22,3682,1270,2024,1250,1.2185,170000,"NEAR BAY"
-122.26,37.82,37,3633,1085,1838,980,2.6104,193100,"NEAR BAY"
-122.25,37.81,29,4656,1414,2304,1250,2.4912,257800,"NEAR BAY"
-122.25,37.81,28,5806,1603,2563,1497,3.2177,273400,"NEAR BAY"
-122.25,37.81,39,854,242,389,228,3.125,237500,"NEAR BAY"
-122.25,37.81,52,2155,701,895,613,2.5795,350000,"NEAR BAY"
-122.26,37.81,34,5871,1914,2689,1789,2.8406,335700,"NEAR BAY"
-122.24,37.82,52,1509,225,674,244,4.9306,313400,"NEAR BAY"
-122.24,37.81,52,2026,482,709,456,3.2727,268500,"NEAR BAY"
-122.25,37.81,52,1758,460,686,422,3.1691,259400,"NEAR BAY"
-122.24,37.82,52,3481,751,1444,718,3.9,275700,"NEAR BAY"
-122.25,37.82,28,3337,855,1520,802,3.9063,225000,"NEAR BAY"
-122.25,37.82,52,1424,289,550,253,5.0917,262500,"NEAR BAY"
-122.25,37.82,32,3809,1098,1806,1022,2.6429,218500,"NEAR BAY"
-122.25,37.82,26,3959,1196,1749,1217,3.0233,255000,"NEAR BAY"
-122.25,37.83,52,2376,559,939,519,3.1484,224100,"NEAR BAY"
-122.25,37.83,35,1613,428,675,422,3.4722,243100,"NEAR BAY"
-122.25,37.83,52,1279,287,534,291,3.1429,231600,"NEAR BAY"
-122.25,37.83,28,5022,1750,2558,1661,2.4234,218500,"NEAR BAY"
-122.25,37.83,52,4190,1105,1786,1037,3.0897,234100,"NEAR BAY"
-122.23,37.84,50,2515,399,970,373,5.8596,327600,"NEAR BAY"
-122.23,37.84,47,3175,454,1098,485,5.2868,347600,"NEAR BAY"
-122.24,37.83,41,2576,406,794,376,5.956,366100,"NEAR BAY"
-122.24,37.85,37,334,54,98,47,4.9643,335000,"NEAR BAY"
-122.23,37.85,52,2800,411,1061,403,6.3434,373600,"NEAR BAY"
-122.24,37.84,52,3529,574,1177,555,5.1773,389500,"NEAR BAY"
-122.24,37.85,52,2612,365,901,367,7.2354,391100,"NEAR BAY"
-122.22,37.85,28,5287,1048,2031,956,5.457,337300,"NEAR BAY"
-122.22,37.84,50,2935,473,1031,479,7.5,295200,"NEAR BAY"
-122.21,37.84,44,3424,597,1358,597,6.0194,292300,"NEAR BAY"
-122.21,37.83,40,4991,674,1616,654,7.5544,411500,"NEAR BAY"
-122.2,37.84,30,2211,346,844,343,6.0666,311500,"NEAR BAY"
-122.21,37.84,34,3038,490,1140,496,7.0548,325900,"NEAR BAY"
-122.19,37.84,18,1617,210,533,194,11.6017,392600,"NEAR BAY"
-122.2,37.84,35,2865,460,1072,443,7.4882,319300,"NEAR BAY"
-122.21,37.83,34,5065,788,1627,766,6.8976,333300,"NEAR BAY"
-122.19,37.83,28,1326,184,463,190,8.2049,335200,"NEAR BAY"
-122.2,37.83,26,1589,223,542,211,8.401,351200,"NEAR BAY"
-122.19,37.83,29,1791,271,661,269,6.8538,368900,"NEAR BAY"
-122.19,37.82,32,1835,264,635,263,8.317,365900,"NEAR BAY"
-122.2,37.82,37,1229,181,420,176,7.0175,366700,"NEAR BAY"
-122.2,37.82,39,3770,534,1265,500,6.3302,362800,"NEAR BAY"
-122.18,37.81,30,292,38,126,52,6.3624,483300,"NEAR BAY"
-122.21,37.82,52,2375,333,813,350,7.0549,331400,"NEAR BAY"
-122.2,37.81,45,2964,436,1067,426,6.7851,323500,"NEAR BAY"
-122.21,37.8,50,2833,605,1260,552,2.8929,216700,"NEAR BAY"
-122.21,37.8,38,2254,535,951,487,3.0812,233100,"NEAR BAY"
-122.21,37.81,52,1389,212,510,224,5.2402,296400,"NEAR BAY"
-122.22,37.81,52,1971,335,765,308,6.5217,273700,"NEAR BAY"
-122.22,37.8,52,2183,465,1129,460,3.2632,227700,"NEAR BAY"
-122.22,37.8,52,2286,464,1073,441,3.0298,199600,"NEAR BAY"
-122.22,37.8,52,2721,541,1185,515,4.5428,239800,"NEAR BAY"
-122.22,37.81,52,2024,339,756,340,4.072,270100,"NEAR BAY"
-122.22,37.81,52,2944,536,1034,521,5.3509,302100,"NEAR BAY"
-122.23,37.8,52,2033,486,787,459,3.1603,269500,"NEAR BAY"
-122.23,37.81,52,1433,229,612,213,4.7708,314700,"NEAR BAY"
-122.22,37.81,52,2927,402,1021,380,8.1564,390100,"NEAR BAY"
-122.23,37.81,52,2315,292,861,258,8.8793,410300,"NEAR BAY"
-122.24,37.81,52,2485,313,953,327,6.8591,352400,"NEAR BAY"
-122.24,37.81,52,1490,238,634,256,6.0302,287300,"NEAR BAY"
-122.23,37.81,52,2814,365,878,352,7.508,348700,"NEAR BAY"
-122.24,37.81,52,2093,550,918,483,2.7477,243800,"NEAR BAY"
-122.24,37.8,52,888,168,360,175,2.1944,211500,"NEAR BAY"
-122.25,37.8,52,2087,510,1197,488,3.0149,218400,"NEAR BAY"
-122.24,37.81,52,2513,502,1048,518,3.675,269900,"NEAR BAY"
-122.25,37.81,46,3232,835,1373,747,3.225,218800,"NEAR BAY"
-122.25,37.8,42,4120,1065,1715,1015,2.9345,225000,"NEAR BAY"
-122.25,37.8,43,2364,792,1359,722,2.1429,250000,"NEAR BAY"
-122.25,37.8,41,1471,469,1062,413,1.6121,171400,"NEAR BAY"
-122.25,37.8,29,2468,864,1335,773,1.3929,193800,"NEAR BAY"
-122.24,37.79,27,1632,492,1171,429,2.3173,125000,"NEAR BAY"
-122.25,37.79,45,1786,526,1475,460,1.7772,97500,"NEAR BAY"
-122.25,37.79,50,629,188,742,196,2.6458,125000,"NEAR BAY"
-122.25,37.79,52,1339,391,1086,363,2.181,138800,"NEAR BAY"
-122.25,37.8,36,1678,606,1645,543,2.2303,116700,"NEAR BAY"
-122.25,37.8,43,2344,647,1710,644,1.6504,151800,"NEAR BAY"
-122.24,37.8,52,996,228,731,228,2.2697,127000,"NEAR BAY"
-122.24,37.8,52,1591,373,1118,347,2.1563,128600,"NEAR BAY"
-122.24,37.8,52,1586,398,1006,335,2.1348,140600,"NEAR BAY"
-122.24,37.8,47,2046,588,1213,554,2.6292,182700,"NEAR BAY"
-122.23,37.8,52,1192,289,772,257,2.3833,146900,"NEAR BAY"
-122.24,37.8,52,1803,420,1321,401,2.957,122800,"NEAR BAY"
-122.24,37.8,49,2838,749,1487,677,2.5238,169300,"NEAR BAY"
-122.23,37.8,52,783,184,488,186,1.9375,126600,"NEAR BAY"
-122.23,37.8,51,1590,414,949,392,1.9028,127900,"NEAR BAY"
-122.23,37.8,50,1746,480,1149,415,2.25,123500,"NEAR BAY"
-122.23,37.8,52,1252,299,844,280,2.3929,111900,"NEAR BAY"
-122.23,37.79,43,5963,1344,4367,1231,2.1917,112800,"NEAR BAY"
-122.23,37.79,52,1783,395,1659,412,2.9357,107900,"NEAR BAY"
-122.23,37.79,30,999,264,1011,263,1.8854,137500,"NEAR BAY"
-122.24,37.79,39,1469,431,1464,389,2.1638,105500,"NEAR BAY"
-122.24,37.79,47,1372,395,1237,303,2.125,95500,"NEAR BAY"
-122.24,37.79,52,674,180,647,168,3.375,116100,"NEAR BAY"
-122.24,37.79,43,1626,376,1284,357,2.2542,112200,"NEAR BAY"
-122.25,37.79,51,175,43,228,55,2.1,75000,"NEAR BAY"
-122.25,37.79,39,461,129,381,123,1.6,112500,"NEAR BAY"
-122.25,37.79,52,902,237,846,227,3.625,125000,"NEAR BAY"
-122.26,37.8,20,2373,779,1659,676,1.6929,115000,"NEAR BAY"
-122.22,37.77,52,391,128,520,138,1.6471,95000,"NEAR BAY"
-122.22,37.77,52,1137,301,866,259,2.59,96400,"NEAR BAY"
-122.23,37.77,52,769,206,612,183,2.57,72000,"NEAR BAY"
-122.23,37.78,52,472,146,415,126,2.6429,71300,"NEAR BAY"
-122.23,37.78,52,862,215,994,213,3.0257,80800,"NEAR BAY"
